code,description,type
48547,DUODENAL EXCLUSION,3
48548,FUSE PANCREAS AND BOWEL,3
48550,DONOR PANCREATECTOMY,3
48551,PREP DONOR PANCREAS,3
48552,PREP DONOR PANCREAS/VENOUS,3
48554,TRANSPL ALLOGRAFT PANCREAS,3
48556,REMOVAL ALLOGRAFT PANCREAS,3
48999,PANCREAS SURGERY PROCEDURE,3
49000,EXPLORATION OF ABDOMEN,3
49002,REOPENING OF ABDOMEN,3
49010,EXPLORATION BEHIND ABDOMEN,3
49020,DRAINAGE ABDOM ABSCESS OPEN,3
49040,DRAIN OPEN ABDOM ABSCESS,3
49060,DRAIN OPEN RETROPERI ABSCESS,3
49062,DRAIN TO PERITONEAL CAVITY,3
49082,ABD PARACENTESIS,3
49083,ABD PARACENTESIS W/IMAGING,3
49084,PERITONEAL LAVAGE,3
49180,BIOPSY ABDOMINAL MASS,3
49185,SCLEROTX FLUID COLLECTION,3
49203,EXC ABD TUM 5 CM OR LESS,3
49204,EXC ABD TUM OVER 5 CM,3
49205,EXC ABD TUM OVER 10 CM,3
49215,EXCISE SACRAL SPINE TUMOR,3
49220,MULTIPLE SURGERY ABDOMEN,3
49250,EXCISION OF UMBILICUS,3
49255,REMOVAL OF OMENTUM,3
49320,DIAG LAPARO SEPARATE PROC,3
49321,LAPAROSCOPY BIOPSY,3
49322,LAPAROSCOPY ASPIRATION,3
49323,LAPARO DRAIN LYMPHOCELE,3
49324,LAP INSERT TUNNEL IP CATH,3
49325,LAP REVISION PERM IP CATH,3
49326,LAP W/OMENTOPEXY ADD-ON,3
49327,LAP INS DEVICE FOR RT,3
49329,LAPARO PROC ABDM/PER/OMENT,3
49400,AIR INJECTION INTO ABDOMEN,3
49402,REMOVE FOREIGN BODY ADBOMEN,3
49405,IMAGE CATH FLUID COLXN VISC,3
49406,IMAGE CATH FLUID PERI/RETRO,3
49407,IMAGE CATH FLUID TRNS/VGNL,3
49411,INS MARK ABD/PEL FOR RT PERQ,3
49412,INS DEVICE FOR RT GUIDE OPEN,3
49418,INSERT TUN IP CATH PERC,3
49419,INSERT TUN IP CATH W/PORT,3
49421,INS TUN IP CATH FOR DIAL OPN,3
49422,REMOVE TUNNELED IP CATH,3
49423,EXCHANGE DRAINAGE CATHETER,3
49424,ASSESS CYST CONTRAST INJECT,3
49425,INSERT ABDOMEN-VENOUS DRAIN,3
49426,REVISE ABDOMEN-VENOUS SHUNT,3
49427,INJECTION ABDOMINAL SHUNT,3
49428,LIGATION OF SHUNT,3
49429,REMOVAL OF SHUNT,3
49435,INSERT SUBQ EXTEN TO IP CATH,3
49436,EMBEDDED IP CATH EXIT-SITE,3
49440,PLACE GASTROSTOMY TUBE PERC,3
49441,PLACE DUOD/JEJ TUBE PERC,3
49442,PLACE CECOSTOMY TUBE PERC,3
49446,CHANGE G-TUBE TO G-J PERC,3
49450,REPLACE G/C TUBE PERC,3
49451,REPLACE DUOD/JEJ TUBE PERC,3
49452,REPLACE G-J TUBE PERC,3
49460,FIX G/COLON TUBE W/DEVICE,3
49465,FLUORO EXAM OF G/COLON TUBE,3
49491,RPR HERN PREEMIE REDUC,3
49492,RPR ING HERN PREMIE BLOCKED,3
49495,RPR ING HERNIA BABY REDUC,3
49496,RPR ING HERNIA BABY BLOCKED,3
49500,RPR ING HERNIA INIT REDUCE,3
49501,RPR ING HERNIA INIT BLOCKED,3
49505,PRP I/HERN INIT REDUC >5 YR,3
49507,PRP I/HERN INIT BLOCK >5 YR,3
49520,REREPAIR ING HERNIA REDUCE,3
49521,REREPAIR ING HERNIA BLOCKED,3
49525,REPAIR ING HERNIA SLIDING,3
49540,REPAIR LUMBAR HERNIA,3
49550,RPR REM HERNIA INIT REDUCE,3
49553,RPR FEM HERNIA INIT BLOCKED,3
49555,REREPAIR FEM HERNIA REDUCE,3
49557,REREPAIR FEM HERNIA BLOCKED,3
49560,RPR VENTRAL HERN INIT REDUC,3
49561,RPR VENTRAL HERN INIT BLOCK,3
49565,REREPAIR VENTRL HERN REDUCE,3
49566,REREPAIR VENTRL HERN BLOCK,3
49568,HERNIA REPAIR W/MESH,3
49570,RPR EPIGASTRIC HERN REDUCE,3
49572,RPR EPIGASTRIC HERN BLOCKED,3
49580,RPR UMBIL HERN REDUC < 5 YR,3
49582,RPR UMBIL HERN BLOCK < 5 YR,3
49585,RPR UMBIL HERN REDUC > 5 YR,3
49587,RPR UMBIL HERN BLOCK > 5 YR,3
49590,REPAIR SPIGELIAN HERNIA,3
49600,REPAIR UMBILICAL LESION,3
49605,REPAIR UMBILICAL LESION,3
49606,REPAIR UMBILICAL LESION,3
49610,REPAIR UMBILICAL LESION,3
49611,REPAIR UMBILICAL LESION,3
49650,LAP ING HERNIA REPAIR INIT,3
49651,LAP ING HERNIA REPAIR RECUR,3
49652,LAP VENT/ABD HERNIA REPAIR,3
49653,LAP VENT/ABD HERN PROC COMP,3
49654,LAP INC HERNIA REPAIR,3
49655,LAP INC HERN REPAIR COMP,3
49656,LAP INC HERNIA REPAIR RECUR,3
49657,LAP INC HERN RECUR COMP,3
49659,LAPARO PROC HERNIA REPAIR,3
49900,REPAIR OF ABDOMINAL WALL,3
49904,OMENTAL FLAP EXTRA-ABDOM,3
49905,OMENTAL FLAP INTRA-ABDOM,3
49906,FREE OMENTAL FLAP MICROVASC,3
49999,ABDOMEN SURGERY PROCEDURE,3
50010,EXPLORATION OF KIDNEY,3
50020,RENAL ABSCESS OPEN DRAIN,3
50040,DRAINAGE OF KIDNEY,3
50045,EXPLORATION OF KIDNEY,3
5005F,PT COUNSLD ON EXAM FOR MOLES,3
50060,REMOVAL OF KIDNEY STONE,3
50065,INCISION OF KIDNEY,3
50070,INCISION OF KIDNEY,3
50075,REMOVAL OF KIDNEY STONE,3
50080,REMOVAL OF KIDNEY STONE,3
50081,REMOVAL OF KIDNEY STONE,3
50100,REVISE KIDNEY BLOOD VESSELS,3
5010F,MACUL RESULT PHY/QHP MNG DM,3
50120,EXPLORATION OF KIDNEY,3
50125,EXPLORE AND DRAIN KIDNEY,3
50130,REMOVAL OF KIDNEY STONE,3
50135,EXPLORATION OF KIDNEY,3
5015F,DOC FX & TEST/TXMNT FOR OP,3
50200,RENAL BIOPSY PERQ,3
50205,RENAL BIOPSY OPEN,3
5020F,TXMNTS 2 PHYS/QHP BY 1 MON,3
50220,REMOVE KIDNEY OPEN,3
50225,REMOVAL KIDNEY OPEN COMPLEX,3
50230,REMOVAL KIDNEY OPEN RADICAL,3
50234,REMOVAL OF KIDNEY & URETER,3
50236,REMOVAL OF KIDNEY & URETER,3
50240,PARTIAL REMOVAL OF KIDNEY,3
50250,CRYOABLATE RENAL MASS OPEN,3
50280,REMOVAL OF KIDNEY LESION,3
50290,REMOVAL OF KIDNEY LESION,3
50300,REMOVE CADAVER DONOR KIDNEY,3
50320,REMOVE KIDNEY LIVING DONOR,3
50323,PREP CADAVER RENAL ALLOGRAFT,3
50325,PREP DONOR RENAL GRAFT,3
50327,PREP RENAL GRAFT/VENOUS,3
50328,PREP RENAL GRAFT/ARTERIAL,3
50329,PREP RENAL GRAFT/URETERAL,3
50340,REMOVAL OF KIDNEY,3
50360,TRANSPLANTATION OF KIDNEY,3
50365,TRANSPLANTATION OF KIDNEY,3
50370,REMOVE TRANSPLANTED KIDNEY,3
50380,REIMPLANTATION OF KIDNEY,3
50382,CHANGE URETER STENT PERCUT,3
50384,REMOVE URETER STENT PERCUT,3
50385,CHANGE STENT VIA TRANSURETH,3
50386,REMOVE STENT VIA TRANSURETH,3
50387,CHANGE NEPHROURETERAL CATH,3
50389,REMOVE RENAL TUBE W/FLUORO,3
50390,DRAINAGE OF KIDNEY LESION,3
50391,INSTLL RX AGNT INTO RNAL TUB,3
50395,CREATE PASSAGE TO KIDNEY,3
50396,MEASURE KIDNEY PRESSURE,3
50400,REVISION OF KIDNEY/URETER,3
50405,REVISION OF KIDNEY/URETER,3
50430,NJX PX NFROSGRM &/URTRGRM,3
50431,NJX PX NFROSGRM &/URTRGRM,3
50432,PLMT NEPHROSTOMY CATHETER,3
50433,PLMT NEPHROURETERAL CATHETER,3
50434,CONVERT NEPHROSTOMY CATHETER,3
50435,EXCHANGE NEPHROSTOMY CATH,3
50500,REPAIR OF KIDNEY WOUND,3
5050F,PLAN 2 MAIN DR BY 1 MONTH,3
50520,CLOSE KIDNEY-SKIN FISTULA,3
50525,CLOSE NEPHROVISCERAL FISTULA,3
50526,CLOSE NEPHROVISCERAL FISTULA,3
50540,REVISION OF HORSESHOE KIDNEY,3
50541,LAPARO ABLATE RENAL CYST,3
50542,LAPARO ABLATE RENAL MASS,3
50543,LAPARO PARTIAL NEPHRECTOMY,3
50544,LAPAROSCOPY PYELOPLASTY,3
50545,LAPARO RADICAL NEPHRECTOMY,3
50546,LAPAROSCOPIC NEPHRECTOMY,3
50547,LAPARO REMOVAL DONOR KIDNEY,3
50548,LAPARO REMOVE W/URETER,3
50549,LAPAROSCOPE PROC RENAL,3
50551,KIDNEY ENDOSCOPY,3
50553,KIDNEY ENDOSCOPY,3
50555,KIDNEY ENDOSCOPY & BIOPSY,3
50557,KIDNEY ENDOSCOPY & TREATMENT,3
50561,KIDNEY ENDOSCOPY & TREATMENT,3
50562,RENAL SCOPE W/TUMOR RESECT,3
50570,KIDNEY ENDOSCOPY,3
50572,KIDNEY ENDOSCOPY,3
50574,KIDNEY ENDOSCOPY & BIOPSY,3
50575,KIDNEY ENDOSCOPY,3
50576,KIDNEY ENDOSCOPY & TREATMENT,3
50580,KIDNEY ENDOSCOPY & TREATMENT,3
50590,FRAGMENTING OF KIDNEY STONE,3
50592,PERC RF ABLATE RENAL TUMOR,3
50593,PERC CRYO ABLATE RENAL TUM,3
50600,EXPLORATION OF URETER,3
50605,INSERT URETERAL SUPPORT,3
50606,ENDOLUMINAL BX URTR RNL PLVS,3
5060F,FNDNGS MAMMO 2PT W/IN 3 DAYS,3
50610,REMOVAL OF URETER STONE,3
50620,REMOVAL OF URETER STONE,3
5062F,MAMMO RESULT COM TO PT 5 DAY,3
50630,REMOVAL OF URETER STONE,3
50650,REMOVAL OF URETER,3
50660,REMOVAL OF URETER,3
50684,INJECTION FOR URETER X-RAY,3
50686,MEASURE URETER PRESSURE,3
50688,CHANGE OF URETER TUBE/STENT,3
50690,INJECTION FOR URETER X-RAY,3
50693,PLMT URETERAL STENT PRQ,3
50694,PLMT URETERAL STENT PRQ,3
50695,PLMT URETERAL STENT PRQ,3
50700,REVISION OF URETER,3
50705,URETERAL EMBOLIZATION/OCCL,3
50706,BALLOON DILATE URTRL STRIX,3
50715,RELEASE OF URETER,3
50722,RELEASE OF URETER,3
50725,RELEASE/REVISE URETER,3
50727,REVISE URETER,3
50728,REVISE URETER,3
50740,FUSION OF URETER & KIDNEY,3
50750,FUSION OF URETER & KIDNEY,3
50760,FUSION OF URETERS,3
50770,SPLICING OF URETERS,3
50780,REIMPLANT URETER IN BLADDER,3
50782,REIMPLANT URETER IN BLADDER,3
50783,REIMPLANT URETER IN BLADDER,3
50785,REIMPLANT URETER IN BLADDER,3
50800,IMPLANT URETER IN BOWEL,3
50810,FUSION OF URETER & BOWEL,3
50815,URINE SHUNT TO INTESTINE,3
50820,CONSTRUCT BOWEL BLADDER,3
50825,CONSTRUCT BOWEL BLADDER,3
50830,REVISE URINE FLOW,3
50840,REPLACE URETER BY BOWEL,3
50845,APPENDICO-VESICOSTOMY,3
50860,TRANSPLANT URETER TO SKIN,3
50900,REPAIR OF URETER,3
50920,CLOSURE URETER/SKIN FISTULA,3
50930,CLOSURE URETER/BOWEL FISTULA,3
50940,RELEASE OF URETER,3
50945,LAPAROSCOPY URETEROLITHOTOMY,3
50947,LAPARO NEW URETER/BLADDER,3
50948,LAPARO NEW URETER/BLADDER,3
50949,LAPAROSCOPE PROC URETER,3
50951,ENDOSCOPY OF URETER,3
50953,ENDOSCOPY OF URETER,3
50955,URETER ENDOSCOPY & BIOPSY,3
50957,URETER ENDOSCOPY & TREATMENT,3
50961,URETER ENDOSCOPY & TREATMENT,3
50970,URETER ENDOSCOPY,3
50972,URETER ENDOSCOPY & CATHETER,3
50974,URETER ENDOSCOPY & BIOPSY,3
50976,URETER ENDOSCOPY & TREATMENT,3
50980,URETER ENDOSCOPY & TREATMENT,3
5100F,RSK FX REF W/N 24 HRS XRAY,3
51020,INCISE & TREAT BLADDER,3
51030,INCISE & TREAT BLADDER,3
51040,INCISE & DRAIN BLADDER,3
51045,INCISE BLADDER/DRAIN URETER,3
51050,REMOVAL OF BLADDER STONE,3
51060,REMOVAL OF URETER STONE,3
51065,REMOVE URETER CALCULUS,3
51080,DRAINAGE OF BLADDER ABSCESS,3
51100,DRAIN BLADDER BY NEEDLE,3
51101,DRAIN BLADDER BY TROCAR/CATH,3
51102,DRAIN BL W/CATH INSERTION,3
51500,REMOVAL OF BLADDER CYST,3
51520,REMOVAL OF BLADDER LESION,3
51525,REMOVAL OF BLADDER LESION,3
51530,REMOVAL OF BLADDER LESION,3
51535,REPAIR OF URETER LESION,3
51550,PARTIAL REMOVAL OF BLADDER,3
51555,PARTIAL REMOVAL OF BLADDER,3
51565,REVISE BLADDER & URETER(S),3
51570,REMOVAL OF BLADDER,3
51575,REMOVAL OF BLADDER & NODES,3
51580,REMOVE BLADDER/REVISE TRACT,3
51585,REMOVAL OF BLADDER & NODES,3
51590,REMOVE BLADDER/REVISE TRACT,3
51595,REMOVE BLADDER/REVISE TRACT,3
51596,REMOVE BLADDER/CREATE POUCH,3
51597,REMOVAL OF PELVIC STRUCTURES,3
51600,INJECTION FOR BLADDER X-RAY,3
51605,PREPARATION FOR BLADDER XRAY,3
51610,INJECTION FOR BLADDER X-RAY,3
51700,IRRIGATION OF BLADDER,3
51701,INSERT BLADDER CATHETER,3
51702,INSERT TEMP BLADDER CATH,3
51703,INSERT BLADDER CATH COMPLEX,3
51705,CHANGE OF BLADDER TUBE,3
51710,CHANGE OF BLADDER TUBE,3
51715,ENDOSCOPIC INJECTION/IMPLANT,3
51720,TREATMENT OF BLADDER LESION,3
51725,SIMPLE CYSTOMETROGRAM,3
51726,COMPLEX CYSTOMETROGRAM,3
51727,CYSTOMETROGRAM W/UP,3
51728,CYSTOMETROGRAM W/VP,3
51729,CYSTOMETROGRAM W/VP&UP,3
51736,URINE FLOW MEASUREMENT,3
51741,ELECTRO-UROFLOWMETRY FIRST,3
51784,ANAL/URINARY MUSCLE STUDY,3
51785,ANAL/URINARY MUSCLE STUDY,3
51792,URINARY REFLEX STUDY,3
51797,INTRAABDOMINAL PRESSURE TEST,3
51798,US URINE CAPACITY MEASURE,3
51800,REVISION OF BLADDER/URETHRA,3
51820,REVISION OF URINARY TRACT,3
51840,ATTACH BLADDER/URETHRA,3
51841,ATTACH BLADDER/URETHRA,3
51845,REPAIR BLADDER NECK,3
51860,REPAIR OF BLADDER WOUND,3
51865,REPAIR OF BLADDER WOUND,3
51880,REPAIR OF BLADDER OPENING,3
51900,REPAIR BLADDER/VAGINA LESION,3
51920,CLOSE BLADDER-UTERUS FISTULA,3
51925,HYSTERECTOMY/BLADDER REPAIR,3
51940,CORRECTION OF BLADDER DEFECT,3
51960,REVISION OF BLADDER & BOWEL,3
51980,CONSTRUCT BLADDER OPENING,3
51990,LAPARO URETHRAL SUSPENSION,3
51992,LAPARO SLING OPERATION,3
51999,LAPAROSCOPE PROC BLA,3
52000,CYSTOSCOPY,3
52001,CYSTOSCOPY REMOVAL OF CLOTS,3
52005,CYSTOSCOPY & URETER CATHETER,3
52007,CYSTOSCOPY AND BIOPSY,3
5200F,EVAL APPROS SURG THXPY EPI,3
52010,CYSTOSCOPY & DUCT CATHETER,3
52204,CYSTOSCOPY W/BIOPSY(S),3
52214,CYSTOSCOPY AND TREATMENT,3
52224,CYSTOSCOPY AND TREATMENT,3
52234,CYSTOSCOPY AND TREATMENT,3
52235,CYSTOSCOPY AND TREATMENT,3
52240,CYSTOSCOPY AND TREATMENT,3
52250,CYSTOSCOPY AND RADIOTRACER,3
52260,CYSTOSCOPY AND TREATMENT,3
52265,CYSTOSCOPY AND TREATMENT,3
52270,CYSTOSCOPY & REVISE URETHRA,3
52275,CYSTOSCOPY & REVISE URETHRA,3
52276,CYSTOSCOPY AND TREATMENT,3
52277,CYSTOSCOPY AND TREATMENT,3
52281,CYSTOSCOPY AND TREATMENT,3
52282,CYSTOSCOPY IMPLANT STENT,3
52283,CYSTOSCOPY AND TREATMENT,3
52285,CYSTOSCOPY AND TREATMENT,3
52287,CYSTOSCOPY CHEMODENERVATION,3
52290,CYSTOSCOPY AND TREATMENT,3
52300,CYSTOSCOPY AND TREATMENT,3
52301,CYSTOSCOPY AND TREATMENT,3
52305,CYSTOSCOPY AND TREATMENT,3
52310,CYSTOSCOPY AND TREATMENT,3
52315,CYSTOSCOPY AND TREATMENT,3
52317,REMOVE BLADDER STONE,3
52318,REMOVE BLADDER STONE,3
52320,CYSTOSCOPY AND TREATMENT,3
52325,CYSTOSCOPY STONE REMOVAL,3
52327,CYSTOSCOPY INJECT MATERIAL,3
52330,CYSTOSCOPY AND TREATMENT,3
52332,CYSTOSCOPY AND TREATMENT,3
52334,CREATE PASSAGE TO KIDNEY,3
52341,CYSTO W/URETER STRICTURE TX,3
52342,CYSTO W/UP STRICTURE TX,3
52343,CYSTO W/RENAL STRICTURE TX,3
52344,CYSTO/URETERO STRICTURE TX,3
52345,CYSTO/URETERO W/UP STRICTURE,3
52346,CYSTOURETERO W/RENAL STRICT,3
52351,CYSTOURETERO & OR PYELOSCOPE,3
52352,CYSTOURETERO W/STONE REMOVE,3
52353,CYSTOURETERO W/LITHOTRIPSY,3
52354,CYSTOURETERO W/BIOPSY,3
52355,CYSTOURETERO W/EXCISE TUMOR,3
52356,CYSTO/URETERO W/LITHOTRIPSY,3
52400,CYSTOURETERO W/CONGEN REPR,3
52402,CYSTOURETHRO CUT EJACUL DUCT,3
52441,CYSTOURETHRO W/IMPLANT,3
52442,CYSTOURETHRO W/ADDL IMPLANT,3
52450,INCISION OF PROSTATE,3
52500,REVISION OF BLADDER NECK,3
5250F,ASTHMA DISCHARGE PLAN PRESNT,3
52601,PROSTATECTOMY (TURP),3
52630,REMOVE PROSTATE REGROWTH,3
52640,RELIEVE BLADDER CONTRACTURE,3
52647,LASER SURGERY OF PROSTATE,3
52648,LASER SURGERY OF PROSTATE,3
52649,PROSTATE LASER ENUCLEATION,3
52700,DRAINAGE OF PROSTATE ABSCESS,3
53000,INCISION OF URETHRA,3
53010,INCISION OF URETHRA,3
53020,INCISION OF URETHRA,3
53025,INCISION OF URETHRA,3
53040,DRAINAGE OF URETHRA ABSCESS,3
53060,DRAINAGE OF URETHRA ABSCESS,3
53080,DRAINAGE OF URINARY LEAKAGE,3
53085,DRAINAGE OF URINARY LEAKAGE,3
53200,BIOPSY OF URETHRA,3
53210,REMOVAL OF URETHRA,3
53215,REMOVAL OF URETHRA,3
53220,TREATMENT OF URETHRA LESION,3
53230,REMOVAL OF URETHRA LESION,3
53235,REMOVAL OF URETHRA LESION,3
53240,SURGERY FOR URETHRA POUCH,3
53250,REMOVAL OF URETHRA GLAND,3
53260,TREATMENT OF URETHRA LESION,3
53265,TREATMENT OF URETHRA LESION,3
53270,REMOVAL OF URETHRA GLAND,3
53275,REPAIR OF URETHRA DEFECT,3
53400,REVISE URETHRA STAGE 1,3
53405,REVISE URETHRA STAGE 2,3
53410,RECONSTRUCTION OF URETHRA,3
53415,RECONSTRUCTION OF URETHRA,3
53420,RECONSTRUCT URETHRA STAGE 1,3
53425,RECONSTRUCT URETHRA STAGE 2,3
53430,RECONSTRUCTION OF URETHRA,3
53431,RECONSTRUCT URETHRA/BLADDER,3
53440,MALE SLING PROCEDURE,3
53442,REMOVE/REVISE MALE SLING,3
53444,INSERT TANDEM CUFF,3
53445,INSERT URO/VES NCK SPHINCTER,3
53446,REMOVE URO SPHINCTER,3
53447,REMOVE/REPLACE UR SPHINCTER,3
53448,REMOV/REPLC UR SPHINCTR COMP,3
53449,REPAIR URO SPHINCTER,3
53450,REVISION OF URETHRA,3
53460,REVISION OF URETHRA,3
53500,URETHRLYS TRANSVAG W/ SCOPE,3
53502,REPAIR OF URETHRA INJURY,3
53505,REPAIR OF URETHRA INJURY,3
53510,REPAIR OF URETHRA INJURY,3
53515,REPAIR OF URETHRA INJURY,3
53520,REPAIR OF URETHRA DEFECT,3
53600,DILATE URETHRA STRICTURE,3
53601,DILATE URETHRA STRICTURE,3
53605,DILATE URETHRA STRICTURE,3
53620,DILATE URETHRA STRICTURE,3
53621,DILATE URETHRA STRICTURE,3
53660,DILATION OF URETHRA,3
53661,DILATION OF URETHRA,3
53665,DILATION OF URETHRA,3
53850,PROSTATIC MICROWAVE THERMOTX,3
53852,PROSTATIC RF THERMOTX,3
53855,INSERT PROST URETHRAL STENT,3
53860,TRANSURETHRAL RF TREATMENT,3
53899,UROLOGY SURGERY PROCEDURE,3
54000,SLITTING OF PREPUCE,3
54001,SLITTING OF PREPUCE,3
54015,DRAIN PENIS LESION,3
54050,DESTRUCTION PENIS LESION(S),3
54055,DESTRUCTION PENIS LESION(S),3
54056,CRYOSURGERY PENIS LESION(S),3
54057,LASER SURG PENIS LESION(S),3
54060,EXCISION OF PENIS LESION(S),3
54065,DESTRUCTION PENIS LESION(S),3
54100,BIOPSY OF PENIS,3
54105,BIOPSY OF PENIS,3
54110,TREATMENT OF PENIS LESION,3
54111,TREAT PENIS LESION GRAFT,3
54112,TREAT PENIS LESION GRAFT,3
54115,TREATMENT OF PENIS LESION,3
54120,PARTIAL REMOVAL OF PENIS,3
54125,REMOVAL OF PENIS,3
54130,REMOVE PENIS & NODES,3
54135,REMOVE PENIS & NODES,3
54150,CIRCUMCISION W/REGIONL BLOCK,3
54160,CIRCUMCISION NEONATE,3
54161,CIRCUM 28 DAYS OR OLDER,3
54162,LYSIS PENIL CIRCUMIC LESION,3
54163,REPAIR OF CIRCUMCISION,3
54164,FRENULOTOMY OF PENIS,3
54200,TREATMENT OF PENIS LESION,3
54205,TREATMENT OF PENIS LESION,3
54220,TREATMENT OF PENIS LESION,3
54230,PREPARE PENIS STUDY,3
54231,DYNAMIC CAVERNOSOMETRY,3
54235,PENILE INJECTION,3
54240,PENIS STUDY,3
54250,PENIS STUDY,3
54300,REVISION OF PENIS,3
54304,REVISION OF PENIS,3
54308,RECONSTRUCTION OF URETHRA,3
54312,RECONSTRUCTION OF URETHRA,3
54316,RECONSTRUCTION OF URETHRA,3
54318,RECONSTRUCTION OF URETHRA,3
54322,RECONSTRUCTION OF URETHRA,3
54324,RECONSTRUCTION OF URETHRA,3
54326,RECONSTRUCTION OF URETHRA,3
54328,REVISE PENIS/URETHRA,3
54332,REVISE PENIS/URETHRA,3
54336,REVISE PENIS/URETHRA,3
54340,SECONDARY URETHRAL SURGERY,3
54344,SECONDARY URETHRAL SURGERY,3
54348,SECONDARY URETHRAL SURGERY,3
54352,RECONSTRUCT URETHRA/PENIS,3
54360,PENIS PLASTIC SURGERY,3
54380,REPAIR PENIS,3
54385,REPAIR PENIS,3
54390,REPAIR PENIS AND BLADDER,3
54400,INSERT SEMI-RIGID PROSTHESIS,3
54401,INSERT SELF-CONTD PROSTHESIS,3
54405,INSERT MULTI-COMP PENIS PROS,3
54406,REMOVE MUTI-COMP PENIS PROS,3
54408,REPAIR MULTI-COMP PENIS PROS,3
54410,REMOVE/REPLACE PENIS PROSTH,3
54411,REMOV/REPLC PENIS PROS COMP,3
54415,REMOVE SELF-CONTD PENIS PROS,3
54416,REMV/REPL PENIS CONTAIN PROS,3
54417,REMV/REPLC PENIS PROS COMPL,3
54420,REVISION OF PENIS,3
54430,REVISION OF PENIS,3
54435,REVISION OF PENIS,3
54437,REPAIR CORPOREAL TEAR,3
54438,REPLANTATION OF PENIS,3
54440,REPAIR OF PENIS,3
54450,PREPUTIAL STRETCHING,3
54500,BIOPSY OF TESTIS,3
54505,BIOPSY OF TESTIS,3
54512,EXCISE LESION TESTIS,3
54520,REMOVAL OF TESTIS,3
54522,ORCHIECTOMY PARTIAL,3
54530,REMOVAL OF TESTIS,3
54535,EXTENSIVE TESTIS SURGERY,3
54550,EXPLORATION FOR TESTIS,3
54560,EXPLORATION FOR TESTIS,3
54600,REDUCE TESTIS TORSION,3
54620,SUSPENSION OF TESTIS,3
54640,SUSPENSION OF TESTIS,3
54650,ORCHIOPEXY (FOWLER-STEPHENS),3
54660,REVISION OF TESTIS,3
54670,REPAIR TESTIS INJURY,3
54680,RELOCATION OF TESTIS(ES),3
54690,LAPAROSCOPY ORCHIECTOMY,3
54692,LAPAROSCOPY ORCHIOPEXY,3
54699,LAPAROSCOPE PROC TESTIS,3
54700,DRAINAGE OF SCROTUM,3
54800,BIOPSY OF EPIDIDYMIS,3
54830,REMOVE EPIDIDYMIS LESION,3
54840,REMOVE EPIDIDYMIS LESION,3
54860,REMOVAL OF EPIDIDYMIS,3
54861,REMOVAL OF EPIDIDYMIS,3
54865,EXPLORE EPIDIDYMIS,3
54900,FUSION OF SPERMATIC DUCTS,3
54901,FUSION OF SPERMATIC DUCTS,3
55000,DRAINAGE OF HYDROCELE,3
55040,REMOVAL OF HYDROCELE,3
55041,REMOVAL OF HYDROCELES,3
55060,REPAIR OF HYDROCELE,3
55100,DRAINAGE OF SCROTUM ABSCESS,3
55110,EXPLORE SCROTUM,3
55120,REMOVAL OF SCROTUM LESION,3
55150,REMOVAL OF SCROTUM,3
55175,REVISION OF SCROTUM,3
55180,REVISION OF SCROTUM,3
55200,INCISION OF SPERM DUCT,3
55250,REMOVAL OF SPERM DUCT(S),3
55300,PREPARE SPERM DUCT X-RAY,3
55400,REPAIR OF SPERM DUCT,3
55500,REMOVAL OF HYDROCELE,3
55520,REMOVAL OF SPERM CORD LESION,3
55530,REVISE SPERMATIC CORD VEINS,3
55535,REVISE SPERMATIC CORD VEINS,3
55540,REVISE HERNIA & SPERM VEINS,3
55550,LAPARO LIGATE SPERMATIC VEIN,3
55559,LAPARO PROC SPERMATIC CORD,3
55600,INCISE SPERM DUCT POUCH,3
55605,INCISE SPERM DUCT POUCH,3
55650,REMOVE SPERM DUCT POUCH,3
55680,REMOVE SPERM POUCH LESION,3
55700,BIOPSY OF PROSTATE,3
55705,BIOPSY OF PROSTATE,3
55706,PROSTATE SATURATION SAMPLING,3
55720,DRAINAGE OF PROSTATE ABSCESS,3
55725,DRAINAGE OF PROSTATE ABSCESS,3
55801,REMOVAL OF PROSTATE,3
55810,EXTENSIVE PROSTATE SURGERY,3
55812,EXTENSIVE PROSTATE SURGERY,3
55815,EXTENSIVE PROSTATE SURGERY,3
55821,REMOVAL OF PROSTATE,3
55831,REMOVAL OF PROSTATE,3
55840,EXTENSIVE PROSTATE SURGERY,3
55842,EXTENSIVE PROSTATE SURGERY,3
55845,EXTENSIVE PROSTATE SURGERY,3
55860,SURGICAL EXPOSURE PROSTATE,3
55862,EXTENSIVE PROSTATE SURGERY,3
55865,EXTENSIVE PROSTATE SURGERY,3
55866,LAPARO RADICAL PROSTATECTOMY,3
55870,ELECTROEJACULATION,3
55873,CRYOABLATE PROSTATE,3
55874,TPRNL PLMT BIODEGRDABL MATRL,3
55875,TRANSPERI NEEDLE PLACE PROS,3
55876,PLACE RT DEVICE/MARKER PROS,3
55899,GENITAL SURGERY PROCEDURE,3
55920,PLACE NEEDLES PELVIC FOR RT,3
55970,SEX TRANSFORMATION M TO F,3
55980,SEX TRANSFORMATION F TO M,3
56405,I & D OF VULVA/PERINEUM,3
56420,DRAINAGE OF GLAND ABSCESS,3
56440,SURGERY FOR VULVA LESION,3
56441,LYSIS OF LABIAL LESION(S),3
56442,HYMENOTOMY,3
56501,DESTROY VULVA LESIONS SIM,3
56515,DESTROY VULVA LESION/S COMPL,3
